"name","summary","image_path","category","ingredients","instructions"
"Солянка постная с шампиньонами","Летом хочется чего-то простого, постного. Предложу простую солянку с грибами и малосольными огурчиками.","17.jpg","Русская кухня","Картофель - 3-4 шт.
Помидоры - 2-3 шт.
Морковь - 1 шт.
Лук репчатый - 1 шт.
Шампиньоны - 200 г
Огурцы малосольные - 3-4 шт.
Масло растительное - 30 г
Зелень - по вкусу
Соль - по вкусу
Перец - по вкусу
Лимон - по вкусу
Маслины - по вкусу
Вода - 2-2,5 л","1)Налить 2-2,5 л воды в кастрюлю. Поставить на огонь, довести до кипения. Пока вода греется, почистить и помыть картофель. Нарезать небольшими кусочками.
2)В кипяток опустить картофель. Варить на среднем огне 15 минут.
3)Лук репчатый почистить, помыть, нарезать кубиками.Морковь почистить, помыть, нарезать тонкой соломкой.
4)Шампиньоны помыть, нарезать тонкими пластинками.Малосольные огурцы нарезать кубиками.
5)Помидоры помыть, очистить от шкурки, натереть на крупной терке.
6)Разогреть сковороду, налить растительное масло. В горячее масло выложить лук, грибы и морковь. Тушить, помешивая, на среднем огне 5-7 минут.
7)Затем добавить тертые помидоры и огурцы. Перемешать. Тушить 3-5 минут.
8)Выложить зажарку в суп, посолить, поперчить. Варить на среднем огне 5-10 минут. Помыть и мелко нарезать зелень, добавить в солянку. Снять с огня. Дать настояться 10-20 минут.
Солянка простая постная с шампиньонами готова. Подавать с ломтиком лимона и маслинами.
Приятного аппетита!"

"Фаршированные кабачки","Аппетитные фаршированные кабачки с мясом, запечённые с морковью, луком и помидорами.","18.jpg","Русская кухня","Кабачки - 1 кг
Фарш говяжий (или фарш из птицы) - 250 г
Фарш свиной - 150 г
Помидоры - 400 г
Морковь - 200 г
Лук репчатый - 100 г
Чеснок - 30 г
Бульон мясной (или овощной) - 250 мл
Паприка сладкая молотая - 1 ч. л.
Перец черный горошком - 10 шт.
Перец черный молотый - 1/3 ч. л.
Перец красный чили - 3 стручка
Кориандр молотый - 1 ч. л.
Укроп свежий - 5 г
Петрушка свежая - 5 г
Соль - 1 ч.л.
Лавровый лист - 2 шт.
Вода - 100 мл","1)Помидоры залить кипятком, дать постоять 10 минут.
2)Нарезать мелко чеснок и лук. Измельчить зелень. Морковь разрезать пополам и нарезать тонкими пластинами.
3)Снять с помидоров кожицу и натереть на терке.
4)Добавить в помидоры кориандр, паприку, 0,5 ч. л. соли, перец горошком, измельченный чеснок, нарезанную зелень петрушки и укропа. Влить бульон. Все перемешать.
5)У кабачков срезать с двух сторон концы и вынуть с одной стороны сердцевину с семечками.
6)В мясной фарш добавить 100 мл воды, 0,5 ч. л. соли, молотый черный перец и половину нарезанного репчатого лука (50 г). Хорошо вымешать фарш руками в течение 5-7 минут.
7)В форму для запекания выложить половину моркови и половину оставшегося лука, лавровые листья и стручки острого перца.
8)Подготовленные кабачки наполнить фаршем.
9)Уложить фаршированные кабачки в форму. Сверху на кабачки с мясным фаршем выложить оставшуюся морковь и лук.Все залить помидорным соусом. Форму закрыть крышкой.
10)Разогреть духовку до 180°С и поставить фаршированные кабачки в духовку на 1 час.
Запеченные фаршированные кабачки с овощным соусом посыпать зеленью и подавать со сметаной.
Приятного аппетита!"

"Борщ станичный","Вкусный борщ, отличающийся от других борщей не ингредиентами, а самим процессом приготовления и необычной затиркой.","111.jpg","Русская кухня","Свинина – 600 г
Свекла - 1 шт.
Картофель – 450-500 г
Помидоры свежие – 3-4 шт.
Корень петрушки – половина корня (50 г)
Корень сельдерея – кусочек корня (50 г)
Морковь – 1 шт.
Лук – 1 шт.
Сладкий перец – 1 шт.
Масло сливочное или смалец – 75 г
Сало – 100 г
Чеснок – до 10 зубков (по вкусу)
Капуста – 0,5 головки
Зелень петрушки и укропа
Соль
Перец черный молотый
Лавровый лист – 2-3 шт.
Перец черный горошком – 8 шт.","1)Как приготовить станичный борщ со свининой:
Борщ варим на мясокостном бульоне. Это могут быть свиные ребра, грудинка.
Свинину залить холодной водой (3л), довести до кипения, снять пену, уменьшить огонь и варить до готовности. Из готового бульона вынуть мясо и приступить к приготовлению овощной части борща.
2)Половину свеклы нарезать соломкой и вкинуть в бульон вместе с 1/3 частью картофеля. Этот картофель для затирки бросаем целым.
3)Ошпариваем помидоры, снимаем с них шкурку и режем помидоры кубиками. Добавляем в бульон. Варим все это при слабом кипении 20 минут.
4)Вторую половину свеклы, морковь, корни сельдерея и петрушки режем или натираем мелкой соломкой. Оставшийся картофель режем брусочками.
5)В сковороде на сливочном масле или смальце приготовим пассировку из кореньев и свеклы. Добавим в нее картофель и потушим все, помешивая, 7-10 минут.
6)Для затирки вынем из бульона готовый картофель, порежем мелкими кубиками сладкий перец, лук, сало и продавим чеснок. Следуя старине, все это надо растереть в ступке.
7)Воспользуемся блендером и через несколько минут получаем вот такое пюре.Мелко нашинкуем капусту.А теперь готовую овощную пассировку выложим в бульон вместе с затиркой. Доведем до кипения и вкинем капусту, лавровый лист и перцы горошком. Посолим по вкусу. Поварим 5-7 минут и в конце всыплем рубленную зелень и вернем в борщ мясо, отделенное от костей и порезанное кусочками. Борщу дадим настояться.
В тарелку борща со свининой добавляем по желанию сметану и свежемолотый перец.
Приятного аппетита!"

"Тюря","Предлагаем вам приготовить старинное блюдо русской кухни. Тюря напоминает окрошку, а сделать тюрю можно буквально за несколько минут.","20.jpg","Русская кухня","Хлеб ржаной – 2 ломтика
Чеснок – 1 зубчик
Лук зеленый (нижняя часть) – 1 пучок
Огурец свежий – 1 шт.
Хрен столовый (готовая приправа) – 0,5 ч. ложки
Масло растительное – 1 ст. ложка
Соль – по вкусу
Перец молотый красный – по вкусу
Вода минеральная или квас – 200 мл","1)Ломтики ржаного хлеба немного подсушиваем в духовом шкафу (можно и в микроволновке). Подсушенные хлебные ломтики натираем зубчиком чеснока.
2)Затем нарезаем хлеб на кубики небольшого размера.
3)Промываем свежий зеленый лук (используем нижнюю, белую часть). Лук мелко нарезаем. Добавляем соль и немного разминаем лук руками.
4)Измельчаем свежий огурец, добавляем к луку. Добавляем хрен.
5)Немного приправляем солью, молотым перчиком, наливаем растительное масло.Добавляем хлеб.Заливаем хлеб минеральной водой (или квасом).
6)Перемешиваем ингредиенты и приступаем к дегустации тюри.
Приятной трапезы!"

"Рис с нутом, овощами и курагой","Интересно приготовить блюдо с ярким вкусом и внешним видом — рис с нутом и овощами.","21.jpeg","Индийская кухня","Рис (длиннозёрный) - 200 г
Нут - 100 г
Курага - 50 г
Перец болгарский - 60 г
Сельдерей черешковый - 80 г
Морковь - 80 г
Чеснок - 1-2 зубчика
Масло растительное - 2 ст. ложки
Куркума - 1 ч. ложка
Пряности молотые (смесь: имбирь, кориандр, зира, мускатный орех, корица, гвоздика, чёрный перец) - 1 ч. ложка
Соль - по вкусу","1)Подготовить продукты по списку. Рис лучше выбирать пропаренный или любой длиннозёрный (рассыпчатый).Если курага слишком сухая, её можно залить на 10 минут горячей водой. Затем воду слить, курагу обсушить.
2)Нут выложить в миску, залить водой и оставить на ночь при комнатной температуре. За это время нут хорошо разбухнет.
3)Спустя время нут промыть, переложить в кастрюлю, залить водой и довести до кипения. Далее варить нут на небольшом огне 2 часа, до мягкости. (С отваренного нута слить оставшуюся воду.)
4)В отдельную кастрюлю или сотейник влить 400 мл воды, довести до кипения. Кипяток посолить, добавить куркуму и всыпать рис. После закипания огонь убавить, накрыть кастрюлю крышкой и готовить рис на тихом огне 15-20 минут.
5)Спустя время морковь очистить, сполоснуть и обсушить. Перец очистить от семян и внутренних перегородок. Нарезать морковь, перец и сельдерей небольшими кусочками, кубиками или полосками.
6)В сковороде разогреть масло, выложить нарезанные овощи и обжаривать 4-5 минут, помешивая. Курагу нарезать небольшими кусочками. Чеснок очистить и мелко нарезать.
7)К варёному нуту переложить отваренный рис, добавить пряности (смесь: имбирь, кориандр, зира, мускатный орех, корица, гвоздика, чёрный перец), соль, обжаренные овощи, курагу и чеснок.
8)Перемешать всё, прогреть 2 минуты на небольшом огне, помешивая.
9)Рис с нутом и овощами готов. Разложить блюдо по тарелкам, каждую порцию можно украсить свежей зеленью.
Приятного вам аппетита!"

"Карри из баклажанов","Лёгкое по составу и приготовлению блюдо – карри из баклажанов А добавление сливок делает вкус мягким, бархатным.","22.jpg","Индийская кухня","Баклажаны - 1 кг
Помидоры - 350 г
Лук репчатый - 140 г
Перец болгарский красный - 120 г
Чеснок - 3-4 зубчика
Имбирь свежий (корень) - 15 г
Сливки жирностью 18 % - 150 мл
Масло оливковое - 30 мл (2 ст. ложки)
Масло растительное - 50 мл (3 ст. ложки)
Перец чёрный молотый - 0,5 ч. ложки
Соль - 1 ч. ложка
Паприка сладкая молотая - 1 ч. ложка
Кориандр молотый - 1 ч. ложка
Тмин молотый - 1 ч. ложка
Перец красный острый хлопья - 1/3 ч. ложки
Куркума молотая - 1/2 ч. ложки","1)Подготовьте продукты для запекания баклажанов. Плоды берите упругие, плотные, с зелёными хвостиками.
Включите духовку для разогрева до 200 градусов.
2)Баклажаны обрежьте по краям с двух сторон. Разрежьте каждый баклажан вдоль на 4 части, а затем нарежьте некрупными кубиками.
3)Выложите баклажаны на противень, выстеленный пергаментом для выпечки. Сбрызните оливковым маслом, посолите (0,75 ч. ложки), поперчите (0,25 ч. ложки).
Отправьте баклажаны в разогретую до 200 градусов духовку на 20 минут.
4)Пока запекаются баклажаны, подготовьте ингредиенты для соуса. Количество специй и пряностей регулируйте по своему вкусу.
Чили хлопьями можно заменить свежим перцем по вкусу.
Очистите овощи и имбирь, отмерьте пряности.
5)Репчатый лук нарежьте мелкими кубиками, болгарский перец – крупными кусочками.
6)Всыпьте паприку, кориандр, тмин, чёрный перец (0,25 ч. ложки) и куркуму, перемешайте и обжарьте 1 минуту, чтобы пряности раскрыли свой вкус и аромат.Сладкий перец выложите в сковороду, перемешайте. Обжарьте 3-4 минуты.
7)Влейте 250 мл горячей воды. Тушите 5-7 минут, до мягкости сладкого перца.
8)Тем временем баклажаны приготовились: они уменьшились в объёме, влага выпарилась.Переложите запечённые баклажаны в сковороду, перемешайте. Накройте сковороду крышкой и тушите содержимое 10 минут на слабом огне.
9)Затем влейте в сковороду сливки. (В индийской кухне для карри используют кокосовое молоко.)Накройте крышкой и тушите всё ещё 10 минут. Попробуйте, досолите (0,25 ч. ложки) по вкусу.
10)Карри из баклажанов готово. Такое пряное и острое блюдо отлично сочетается со свежей зеленью мяты или петрушки.
Карри может выступать и закуской на кусочке хлеба, самостоятельным блюдом и ярким гарниром.
Приятного аппетита!"

"Тушеная капуста по-индийски","У вас появился шанс приготовить настоящее индийское блюдо. Капуста  тушится с зеленым горошком, помидорами и специями","23.jpg","Индийская кухня","Капуста белокочанная - 500 г
Горошек зелёный замороженный - 1 стакан
Лавровый лист - 2 шт.
Семена тмина - 1/2 ч.ложки
Чеснок - 5 зубчиков
Имбирь - 25 г
Перец чили - 2 шт.
Лук репчатый средний - 2 шт.
Помидоры крупные - 2 шт.
или помидоры мелкие - 4 шт.
Куркума молотая - 1/2 ч.ложки
Перец чили красный – 1/3 ч.ложки
Кориандр молотый – 1/2 ч.ложки
Тмин молотый - 1/3 ч.ложки
Гарам масала (порошок) - 1/3 ч.ложки
Масло растительное - 4 ст.ложки
Соль - по вкусу","1)Чеснок измельчить. Чеснок измельчить.
Помидоры нарезать произвольно, но не очень мелко.
2)Помидоры нарезать произвольно, но не очень мелко.
3)У перца отрезать плодоножку и нарезать колечками вместе с семенами.
4)Нарезать капусту.Нагреть растительное масло в сковороде, положить лавровый лист, семена тмина, перец чили и обжарить в течение 40-60 секунд.
5)Добавить нарезанный имбирь и чеснок, обжарить в течение 2 минут на среднем огне.Добавить нашинкованный лук и обжарить до золотистого цвета на среднем огне 2 минуты.
6)Добавить куркуму, красный перец чили, тмин, кориандр, смешать специи и обжарить их в течение 1 минуты на слабом огне.
7)Добавить нарезанные помидоры и жарить, пока они не станут мягкими, 3-4 минуты.Добавить зелёный горошек.
8)Добавить нарезанную капусту и соль по вкусу, перемешать. Накрыть кастрюлю и тушить в течение 15 минут на слабом огне, время от времени помешивая.
9)Добавить порошок гарам масала, накрыть кастрюлю крышкой и тушить на слабом огне в течение 1 минуты.
Тушеная капуста по-индийски готова.
Приятного аппетита!"

"Дхансак с креветками","Индийское блюдо дхансак готовится с чечевицей. Дхансак может быть куриным,с мясом барашка, или с креветками.","24.jpg","Индийская кухня","Чечевица красная — 350 г
Соль
Перец черный молотый
Масло растительное — 2 ст. л.
(или 1 ст. л. топленого масла)
Целые коробочки кардамона (раздавите) — 6 шт.
Семена горчицы — 3 ч. л.
Порошок чили — 2 ч. л.
Куркума — 2 ч. л.
Корица — 2 ч. л.
Лук репчатый (мелко нарежьте) — 2 шт.
Имбирь свежий (очистите и мелко нарежьте) — 1 корень (10 см)
Чеснок (мелко нарежьте) — 4 зубка
Перец чили зеленый (очистите от семян и тонко нарежьте) — 3-4 шт.
Креветки сырые (очистите) — 675 г
Ананас свежий (очистите и нарежьте кусочками) — 1 шт.
Помидоры (очистите от кожицы и нарежьте)— 8 шт.
Кинза — 1 жменька","1)Выложите чечевицу в кастрюлю с толстым дном, хорошо посолите, поперчите и залейте водой. Доведите до кипения, уменьшите огонь и варите чечевицу до мягкости (если нужно, добавьте горячей воды). Слейте
2)Тем временем разогрейте 1 ст. л. растительного масла (или ½ ложки топленого масла) в сковороде. Добавьте сушеные пряности и готовьте, постоянно помешивая, 2 минуты. Вмешайте лук, имбирь, чеснок и чили. Готовьте 5 минут (до мягкости).
3)Добавьте в сковороду оставшееся масло, а затем креветки. Увеличьте огонь и готовьте, периодически помешивая, 6-8 минут, чтобы креветки стали розовыми.
Добавьте кусочки ананаса, чечевицу, помидоры и немного горячей воды, чтобы блюдо было слегка жидковатым. Тушите 5 минут. Добавьте соль и перец по вкусу, мелко нарезанную кинзу и подавайте к столу.
Приятного аппетита!"

"Чечевица в пряном томатном соусе","Очень ароматное и вкусное блюдо из чечевицы . Чечевица тушится с луком и помидорами,приобретая яркий насыщенный вкус","25.jpg","Индийская кухня","Чечевица зелёная - 225 г
Помидоры консервированные в с/с - 200 г
Лук репчатый - 120 г
Имбирь - 15 г (в очищенном виде)
Чеснок - 2 зубчика
Гвоздика сушёная - 3 бутона
Лавровый лист - 2 шт.
Карри - 10 г (1-1,5 ст. ложки)
Масло оливковое - 45 мл (3 ст. ложки)
Соль - 0,75 ч. ложки (по вкусу)
Перец чёрный свежемолотый - щепотка","1)Подготавливаем необходимые продукты. Ещё понадобится 500 мл горячей воды.
Если помидоры в собственном соку неочищенные, снимите с них кожицу.
Лук, чеснок и корень имбиря очищаем.
2)Лук нарезаем небольшими кубиками.Чеснок и корень имбиря измельчаем ножом.
3)В толстостенной кастрюле (или казанке) разогреваем оливковое масло и обжариваем лук, чеснок и имбирь до золотистого оттенка, примерно 5 минут на среднем огне.
4)Добавляем карри и обжариваем всё 1 минуту, помешивая.Консервированные помидоры нарезаем очень мелко и вместе с соком отправляем в кастрюлю.
5)Добавляем лавровые листики и гвоздику.Перемешиваем и готовим соус 2-3 минуты.Чечевицу промываем, добавляем в кастрюлю.
6)Варим на небольшом огне до мягкости чечевицы, 30-40 минут. Если вода впиталась, а чечевица еще не готова, можно подлить немного горячей воды.
За 5-7 минут до конца приготовления добавляем соль и чёрный молотый перец, перемешиваем.
Чечевица в пряном томатном соусе готова.
Можно подавать блюдо к столу. Приятного аппетита!"

"Лапша удон с курицей в соусе терияки","Приготовьте знаменитую лапшу, такую же, как в японском ресторане, дома всего за 25 минут.","26.jpeg","Японская кухня","Грудка куриная - 400 г
Лапша удон - 200 г
Перец сладкий - 120 г
Морковь - 70 г
Лук репчатый - 70 г
Чеснок - 10 г
Корень имбиря - 20 г
Перец красный чили - по вкусу
Лук зелёный - 15 г
Масло растительное - 3 ст. ложки
Соус терияки - 120 г
Соус соевый - 50 г
Соль - по вкусу
Перец чёрный молотый - 1 ч. ложка
Кунжут обжаренный - 1 ч. ложка","1)Куриную грудку нарезать небольшими полосками, посолить и поперчить (по 1/2 ч. ложки) – это сделает вкус куриного мяса более насыщенным.
2)Корень имбиря очистить и мелко нарезать.Хорошо разогреть сковороду, налить растительное масло и обжарить имбирь 1-2 минуты на среднем огне.
3)Добавить в сковороду кусочки курицы и обжарить 5 минут на среднем огне, до золотистости, иногда помешивая.Репчатый лук очистить и мелко нарезать.
4)Добавить лук в сковороду с курицей и обжарить 2 минуты на среднем огне.Морковь очистить и нарезать мелкой длинной соломкой.
5)Добавить морковь в сковороду к курице и луку. Обжарить еще 2 минуты.В кастрюле нагреть воду, подсолить (1/2 ч. ложки) и отварить лапшу удон согласно инструкции на упаковке.
6)Сладкий перец очистить от семян и плодоножки и нарезать продольными полосками.Добавить сладкий перец в сковороду. Обжаривать 1 минуту на среднем огне.
7)Добавить в сковороду чеснок.Красный перец чили нарезать колечками и тоже добавить в сковороду. Перемешать.
Добавить соевый соус и соус терияки, перемешать.
8)Добавить в сковороду соль по вкусу, оставшийся чёрный молотый перец и 100 мл воды. Перемешать и накрыть крышкой. Тушить курицу с овощами в соусе терияки 1 минуту.
9)Слить воду, в которой варилась лапша удон, и промыть лапшу под проточной холодной водой. Добавить лапшу в сковороду с курицей и овощами. Тщательно перемешать, накрыть крышкой и готовить лапшу удон с курицей и овощами в соусе терияки 1-2 минуты на слабом огне.
10)Выключить плиту. Добавить в сковороду зелёный лук и перемешать. Посыпать кунжутом.
Лапша удон с курицей и овощами в соусе терияке готова.
Приятного аппетита!"

"Рис с курицей, овощами и яйцом","Блюдо из риса по мотивам японской кухни. Отварим рис отдельно курицу, приправив соусом.","27.jpg","Японская кухня","Рис круглозёрный - 150 г
Куриное филе - 300 г (1 шт.)
Брокколи - 150 г
Перец болгарский красный - 140 г (1 шт.)
Лук репчатый - 100 г (1 шт.)
Морковь - 80 г (1 некрупная)
Чеснок - 1 зубчик
Яйцо - 1 шт.
Соевый соус - 1 ст. ложка
Соус терияки - 1,5 ст. ложки
Масло растительное - 60 мл (4 ст. ложки)
Лук зелёный - 2-3 шт.
Соль - по вкусу
Перец чёрный молотый - по вкусу","1)Рис тщательно промываем, заливаем в кастрюле водой (250 мл), ставим на огонь, доводим до кипения. Затем огонь уменьшаем до минимума, воду солим (1/5 ч. ложки).
2)Готовим под крышкой 15-20 минут, до впитывания воды и готовности риса.
3)Тем временем лук, морковь и сладкий перец очищаем. Брокколи разбираем на мелкие соцветия. Лук, морковь и перец нарезаем мелкими кубиками.
4)Куриное филе нарезаем некрупными кусочками. В сковороде разогреваем растительное масло (2 ст. ложки), выкладываем филе и обжариваем 3-4 минуты на среднем огне, пока куриное мясо не изменит цвет.
5)Вливаем в сковороду соус терияки.Обжариваем кусочки курицы около 5 минут, немного солим (щепотка). Готовую курицу перекладываем на тарелку. Сковороду вымываем.
6)В сковороде разогреваем оставшееся масло (2 ст. ложки), выкладываем лук, сладкий перец, брокколи и морковь. Обжариваем, периодически помешивая, 4-5 минут, до небольшой мягкости.
Добавляем чеснок, очищенный и пропущенный через пресс, соль и перец (по 1-2 щепотки). Перемешиваем, обжариваем овощи ещё 2-3 минуты (или до желаемой мягкости).
7)Затем овощи отодвигаем на край сковороды. Вбиваем яйцо, присаливаем (щепотка).
8)Зелёный лук нарезаем колечками. Отваренный рис перекладываем в сковороду, добавляем обжаренную курицу и половину зелёного лука. Вливаем соевый соус.
9)Перемешиваем и прогреваем всё 2 минуты.
Рис с курицей, овощами и яйцом посыпаем оставшимся зелёным луком и подаём.
Приятного вам аппетита!"

"Японские пельмени Яки гедза","Японские пельмени гёдза  с мясным фаршем, овощами, имбирем, соевым соусом, по вкусу получаются сочными.","28.jpg","Японская кухня","Мука - 1,5 стакана
Вода - 0,5 стакана
Крахмал кукурузный - 1 ст. ложка
Соль - 0,5 ч. ложки
Фарш мясной - 300 г
Капуста пекинская - 7 листьев
Лук репчатый - 1 шт.
Чеснок - 1 зубчик
Соус соевый - 2 ст. ложки
Водка - 1 ч. ложка
Масло растительное - 1 ст. ложка
Крахмал кукурузный - 1 ст. ложка
Сахар - 1 ч. ложка
Имбирь молотый - 1 ч. ложка
Перец черный молотый - 1 ч. ложка","1)Лук и чеснок мелко нарежем.
В мясной фарш добавим лук, чеснок, сахар, молотый перец, имбирь.Нальем водку.Добавим соевый соус.
Добавим растительное масло.Всыплем крахмал.В завершении выложим мелко нарезанную пекинскую капусту. Всё тщательно перемешаем.
2)В другой глубокой миске соединим муку, соль, воду и кукурузный крахмал. Интенсивно все перемешаем.
Полученное тесто тонко раскатаем и выдавим стаканом кружочки.
3)На каждый кружок выложим начинку.
4)Хорошо скрепим края теста. Я скрепила края обычным способом, но японские пельмени отличаются способом лепки: с одной стороны кружка теста по краю нужно сделать складки, а другая сторона должна остаться ровной, а затем края теста скрепляются. Каждую складочку прижимают, чтобы пельмени не расклеивались.
Выложим пельмени швом кверху на разогретую сковороду с маслом и обжарим их в течение 2-х минут до румяности с нижней стороны.
5)Затем аккуратно добавим в сковороду кипяток, накроем крышкой и потушим пельмени на сковороде 15 минут.
Подадим японские пельмени к столу."

"Азиатский суп Кимчи Рамен","Интересный суп для любителей азиатской кухни - с лапшой рамен, капустой кимчи, имбирем и нори.","29.jpeg","Японская кухня","Курица - 900 г
Морковь - 200 г
Лук репчатый - 200 г
Чеснок - 10 зубчиков
Яйца - 6 шт. (1 яйцо на порцию)
Тимьян - по вкусу
Соль - по вкусу
Лавровый лист - 1 шт.
Петрушка свежая - 2 веточки
Лук зеленый - 1 пучок
Лапша рамен - по вкусу
Капуста кимчи - по вкусу
Имбирь - по вкусу
Кунжут - по вкусу
Смесь 5 перцев - по вкусу
Масло растительное - для жарки
Нори - по вкусу","1)Берем полутушку курицы (срезаем все мясо с целой и оставляем только скелет и грудку), кладем ее на противень, вокруг нее раскладываем 100 г моркови и 100 г лука, предварительно крупно нарезав их.
2)Сверху на курицу кладем веточку петрушки, посыпаем крупно нарезанным зубчиком чеснока и отправляем курицу запекаться в предварительно нагретую до 180 градусов духовку до готовности.
3)Пока курица запекается, мы приготовим соус. Семена кунжута немного размять при помощи скалки или в специальной ступке. (Количество кунжута зависит от ваших вкусовых предпочтений.)
4)Высыпаем кунжут в небольшую кастрюльку, добавляем к нему половину пучка нарезанного зеленого лука, 5-6 зубчиков мелко рубленного чеснока, заливаем все растительным маслом до кашицеобразной консистенции и жарим на небольшом огне до мягкости чеснока (по времени приблизительно 3-6 минут).
5)Когда чеснок приготовится, выключаем газ и отправляем в соус смесь пяти перцев, тщательно перемешиваем. Наш соус готов.
6)Варим яйца всмятку.Варим лапшу рамен до полуготовности.
7)Когда курица запечется, снимаем с нее все мясо, а скелет заливаем водой (количество воды из расчета 200-250 мл на порцию), добавляем оставшиеся крупно нарезанные овощи, петрушку, чеснок, солим по вкусу и варим бульон до готовности (приблизительно 30-40 минут).
8)После того, как бульон приготовится, можно приступать к сборке супа. Как известно, многие азиатские супы собираются прямо в тарелке. В порционную тарелку кладем лапшу рамен по вкусу.
9)Добавляем нарезанное на порционные кусочки мясо, несколько кусочков капусты кимчи, разрезанное пополам яйцо, приготовленный нами соус, кусочки листиков нори, мелко рубленный зеленый лук и заливаем все бульоном. Сразу же подаем к столу.
Приятного аппетита! Радуйте себя и своих близких!"

"Жареные овощи с соевым соусом","Надоели обычные гарниры? Хочется вкусненького? Предложим жареные овощи с соевым соусом. Вкусно и полезно.","30.jpg","Японская кухня","Капуста цветная - 200 г
Фасоль стручковая - 150 г
Шампиньоны - 100 г
Морковь - 2 шт.
Перец болгарский - 1-2 стручка
Лук красный - 1 шт.
Масло соевое - 2 ст. ложки
Соус соевый - 1 ст. ложка
Уксус рисовый - 1 ч. ложка","1)Цветную капусту вымыть, разобрать на соцветия.Фасоль вымыть, нарезать небольшими кусочками.
Грибы промыть, нарезать ломтиками.Морковь очистить, вымыть, нарезать брусочками. Лук очистить, вымыть, нарезать полукольцами.
Болгарский перец вымыть, удалить плодоножки и семена, нарезать кусочками.
2)Разогреть сковороду, налить масло. В горячее масло выложить морковь и грибы. Морковь и грибы жарить на сковороде в масле 5 минут,помешивая, на среднем огне.
Затем добавить остальные овощи. Перемешать.
3)Овощи жарить до готовности на небольшом огне, под крышкой (10-15 минут).
4)Смешать соевый соус с уксусом. Полить овощи соевым соусом, смешанным с рисовым уксусом, перемешать, снять с огня.
5)Жареные овощи с соевым соусом готовы.
Овощи слегка охладить и разложить по тарелкам.
Приятного аппетита!"

"Макароны с копчёными колбасками в соусе","Хотите рецепт идеального ужина? Макароны с копчёными колбасками и  соусом из сливок и помидоров готовятся быстро.","31.jpeg","Итальянская кухня","Макароны - 200 г
Колбаски копчёные (или копчёная колбаса) - 100 г
Помидор - 180 г (1 шт.)
Сливки жирностью 20 % - 150 мл
Сыр твёрдый - 100 г
Лук репчатый фиолетовый - 60 г (0,5 шт.)
Чеснок - 1 зубчик
Соль - 1 ч. ложка
Перец чёрный молотый - щепотка
Базилик сушёный - 0,5 ч. ложки
Масло растительное - 30 мл (2 ст. ложки)
Кинза свежая (или петрушка свежая) - 1-2 веточки","1)Подготовьте все ингредиенты. Макароны можно использовать любой формы, но обязательно из твёрдых сортов пшеницы. Так они не разварятся в соусе и сохранят свою упругость.Вместо копчёных колбасок (у меня мини-салями) можно использовать любую копчёную колбасу.
Лук и чеснок очистите и промойте.
2)Чеснок мелко порубите.Репчатый лук нарежьте мелкими кубиками.
3)Колбаски нарежьте тонкими слайсами (кружочками).
4)Разогрейте в глубокой сковороде растительное масло, добавьте лук, чеснок и копчёные колбаски. Обжаривайте 3-4 минуты, помешивая.
5)Помидор залейте кипятком и оставьте на 1 минуту, затем снимите тонкую кожицу.
6)Нарежьте томат мелкими кубиками.Добавьте помидор в сковороду к луку, чесноку и колбаскам. Обжарьте 1-2 минуты, до мягкости кусочков помидора.
7)В сковороду влейте сливки, добавьте базилик, соль (0,5 ч. ложки), чёрный молотый перец и готовьте на среднем огне ещё 7-8 минут. Соус слегка выпарится и станет более густым.
Пока готовится соус, отварите макароны. Для этого 1,5 л воды доведите до кипения. Всыпьте в кипящую воду 0,5 ч. ложки соли и макароны. Ещё раз доведите до кипения и варите макароны на небольшом огне до готовности, 10-12 минут (или согласно времени, указанному на упаковке).
8)Сыр натрите на крупной тёрке и добавьте к макаронам. Перемешайте и прогрейте блюдо в сковороде 1 минуту, чтобы сыр расплавился.
9)Макароны с копчёными колбасками в томатно-сливочном соусе готовы. Подавать такое блюдо нужно сразу, пока сыр плавится и аппетитно тянется за вилкой.
10)Переложите макароны в сервировочную тарелку, добавьте свежую зелень петрушки или кинзы. Сытное, аппетитное блюдо приготовлено в домашних условиях за каких-то 30 минут!
Простое блюдо, а результат получается таким, что на тарелках не остаётся ни крошки!
Приятного аппетита!"

